text,level1,level2,polarity,source,lang,style
مدت زیادی منتظر پاسخ پشتیبانی ماندم ولی پاسخی دریافت نکردم. هنوز نظر قطعی ندارم. باید بیشتر استفاده کنم تا بتونم نظر قطعی بدم. (خرید از فروشگاه آنلاین).,Complaint,support_inefficiency_complaint,neutral,ecommerce,fa,informal
در استفاده از محصول مشکل دارم، لطفاً راهنمایی کنید. در مجموع از تجربه راضی نبودم. به هیچ‌کس توصیه نمی‌کنم. (خرید از فروشگاه آنلاین).,Query,technical_support_query,negative,ecommerce,fa,formal
آیا امکان دارد بگویید چرا قیمت این محصول تغییر کرده؟ هنوز نظر قطعی ندارم. فعلاً نه خیلی خوب بوده نه خیلی بد. (خرید از فروشگاه آنلاین).,Request,pricing_request,neutral,ecommerce,fa,formal
تصاویر محصول با واقعیت تفاوت داشت. هنوز نظر قطعی ندارم. فعلاً نه خیلی خوب بوده نه خیلی بد. (خرید از فروشگاه آنلاین).,Complaint,misleading_description_complaint,neutral,ecommerce,fa,informal
افزودن نظرات تصویری خیلی کاربردی خواهد بود. در کل تجربه‌ام مثبت بود. حتماً دوباره از همین جا سفارش می‌دم. (خرید از فروشگاه آنلاین).,Feedback,feature_request_feedback,positive,ecommerce,fa,semi_formal
تجربه خرید خوبی نبود. در کل تجربه‌ام مثبت بود. واقعاً از خریدم راضی‌ام. (خرید از فروشگاه آنلاین).,Feedback,negative_experience_feedback,positive,ecommerce,fa,formal
پشتیبانی اصلاً همکاری لازم را نداشت. در کل تجربه‌ام مثبت بود. واقعاً از خریدم راضی‌ام. (خرید از فروشگاه آنلاین).,Complaint,support_inefficiency_complaint,positive,ecommerce,fa,formal
می‌خواستم درباره شرایط گارانتی بیشتر بدانم. هنوز نظر قطعی ندارم. فعلاً نه خیلی خوب بوده نه خیلی بد. (خرید از فروشگاه آنلاین).,Query,warranty_query,neutral,ecommerce,fa,formal
می‌خواستم بدانم سفارشم در چه مرحله‌ای است. در کل تجربه‌ام مثبت بود. واقعاً از خریدم راضی‌ام. (خرید از فروشگاه آنلاین).,Request,order_status_request,positive,ecommerce,fa,informal
پیشنهاد دارم فیلترهای بیشتری به سایت اضافه کنید. در مجموع از تجربه راضی نبودم. پشتیبانی هم پاسخ‌گو نبود. (خرید از فروشگاه آنلاین).,Feedback,suggestion_feedback,negative,ecommerce,fa,formal
